Ingredient,Combination,Dry,Normal,Oily,Sensitive
Octocrylene 5.0%Water,1,1,1,1,1
Citrus Aurantium Dulcis (Orange) Oil*,2,1,2,2,1
Cinnamomum Camphora (Camphor) Bark Oil*,3,2,3,3,1
Magnolia Acuminata Flower Extract,2,1,2,2,1
Iris Pallida Root Extract,4,3,4,3,2
Rosa Damascena Extract,5,4,5,5,3
Vaccinium Macrocarpon (Cranberry) Fruit Extract,3,3,3,3,2
Solanum Tuberosum (Potato) Pulp Extract,2,2,2,2,2
Lycium Chinense (Wolfberry) Fruit Extract,3,3,3,3,2
Eriobotrya Japonica (Loquat) Leaf Extract,2,2,2,2,2
Passiflora Incarnata Flower Extract,2,2,2,2,2
Leontopodium Alpinum Extract,4,5,5,4,4
Boswellia Serrata Extract,10,5,8,9,6
Lythrum Salicaria Extract,2,2,2,2,2
Vp/Eicosene Copolymer,4,2,2,4,2
Ascorbyl Tocopheryl Maleate,4,2,2,4,2
Phenoxyethanol * Essential Oil Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,7,7,7,7,7
Rosa Canina Fruit Oil*,2,2,2,2,2
Simmondsia Chinensis (Jojoba) Seed Oil*,2,2,2,2,2
Helianthus Annuus (Sunﬂower) Seed Oil*,1,1,1,1,1
Caprylic/capric Triglyceride,2,2,2,2,2
Morinda Citrifolia (Noni) Fruit Extract*,2,2,2,2,2
Vitis Vinifera (Grape) Fruit Extract,16,15,15,16,13
Lavandula Angustifolia (Lavender) Flower/leaf/stem Extract,1,1,1,1,1
Jasminum Ofﬁcinale (Jasmine) Flower/leaf Extract,1,1,1,1,1
Eugenia Caryophyllus (Clove) Flower Extract,3,3,3,3,3
Punica Granatum Seed Oil*,1,1,1,1,1
Hippophae Rhamnoides (Sea Buckthorn) Seed Oil*,1,1,1,1,1
Geraniol**,1,1,1,1,1
Citronellol**,1,1,1,1,1
Farnesol** Citral**.,1,1,1,1,1
Chamaecyparis Obtusa Water,1,0,1,1,1
PEG,1,0,1,1,1
PPG-20,1,0,1,1,1
15 Dimethicone,1,0,1,1,1
Peg-20 Sorbitan Cocoate,2,2,2,2,2
Peg-11 Methyl Ether Dimethicone,2,2,2,2,2
Zea Mays Oil/Zea Mays (Corn) Oil,1,1,1,1,1
Ci 77492 (Iron Oxides),2,2,2,2,2
Ci 75130 (Beta-Carotene). *Pitera™.,1,1,1,1,1
Cyclotetrasiloxane,3,3,3,3,3
Octadecene,2,2,2,2,2
Collagen Amino Acids,7,8,8,7,8
Gallic Acid,3,3,3,3,3
Ellagic Acid,3,3,3,3,3
Morus Alba Leaf Extract,2,2,2,2,2
Arctostaphylos Uva Ursi Leaf Extract,3,3,3,2,3
Tetrapeptide-21,5,5,5,5,5
Glyceryl Behenate,6,5,6,5,5
Acrylates/Carbamate Copolymer,6,6,6,6,6
Tetrahydropiperine,2,2,2,2,2
Benzophenone-3,2,2,2,2,2
Bis-Vinyl Dimethicone/Dimethicone Copolymer,2,2,2,2,2
Dimethicone Crosspolymer-3,5,5,5,5,5
Citrus Aurantium Bergamia (Bergamot) Fruit Extract,3,4,4,3,4
Citrus Limon (Lemon) Peel Extract,8,7,8,7,3
Annatto (CI 75120).,2,2,2,2,2
Almond/Borage/Linseed/Olive Acids/Glycerides,1,1,1,1,1
Oryza Sativa Starch,1,1,1,1,1
Magnesium Carboxymethyl Beta-Glucan,1,1,1,1,1
Dehydroacetic Acid,18,16,17,17,13
Rosmarinus Officinalis Leaf Extract,2,2,2,2,2
Linalool. *100% Natural Fragrance.,1,1,1,1,1
Bis-PEG/PPG-14/14 Dimethicone,2,1,1,2,1
Corn Starch Modified,2,1,1,2,1
Chitosan,9,8,8,8,5
Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone,6,5,5,5,4
Triethoxysilylethyl Polydimethylsiloxyethyl Hexyl Dimethicone,4,3,3,3,3
Farnesyl Acetate,1,0,0,1,0
Panthenyl Triacetate,2,1,1,2,0
Argania Spinosa Kernel Extract,3,1,2,3,1
Serenoa Serrulata Fruit Extract,6,3,4,6,3
Sesamum Indicum (Sesame) Seed Extract,4,2,3,4,2
Lysine,10,9,9,9,8
Glutamic Acid,8,7,7,6,6
Capryloyl Glycine,6,2,4,6,3
Sarcosine,2,1,1,2,1
Cinnamomum Zeylanicum Bark Extract,2,1,1,2,1
Aluminum Starch Octenylsuccinate,10,10,9,10,8
Acrylates Copolymer,34,25,31,32,21
Magnesium Carbonate,1,0,0,1,0
Lauryl Methacrylate/Glycol Dimethacrylate Crosspolymer,1,0,0,1,0
Yeast Extract (Faex),1,0,0,1,0
Ammonium Glycyrrhizate,4,3,3,4,3
Acrylates Crosspolymer,4,3,3,4,3
Polyglyceryl-2 Dipolyhydroxystearate,5,4,4,5,1
Propyl Gallate,6,3,3,6,1
Acrylates/C10-30 Alykyl Acrylate Crosspolymer,1,0,0,1,0
Melia Azadirachta Seed Oil,4,1,1,4,1
Mentha Piperita (Peppermint) Oil,17,10,14,17,10
Enantia Chlorantha Bark Extract,9,5,5,9,4
Chondrus Crispus (Carrageenan) Extract,10,7,8,10,4
Saccarhide Isomerate,1,0,0,1,0
Oleanolic Acid,8,5,5,8,4
Limonene.,20,16,16,19,11
Visit the Dior boutique,9,10,11,6,6
Acrylates/C10-30 Alkyl Acrylate Crosspolymer.,3,1,3,2,1
Palmitoyl Tripeptide-5,9,9,9,8,8
Hydroxyethyl cellulose,1,1,1,1,1
Disodium Phosphate,5,6,6,5,5
Sodium Phosphate,8,9,9,8,7
EDTA,6,5,6,6,5
Glyoxal.,1,1,1,1,1
Cananga Odorata Flower Oil*,4,4,4,4,2
Eugenia Caryophyllus (Clove) Bud Oil*,3,3,3,3,2
Jasminum Officinale (Jasmine) Oil*,2,2,2,2,1
Viola Odorata Flower/Leaf Extract,4,4,4,4,3
Polianthes Tuberosa Extract,2,2,2,2,1
Farnesol,12,11,11,12,8
Rosa Roxburghii Fruit Extract,3,3,3,3,1
Paeonia Albiflora (Peony) Root Extract,2,2,2,2,1
Molasses Extract\Saccharum Officinarum\Extrait De Mélasse,1,1,1,1,0
Citrus Grandis (Grapefruit) Peel Extract,4,4,4,3,2
Palmaria Palmata Extract,7,8,8,7,5
Morus Nigra (Mulberry) Root Extract,6,6,6,6,4
Punica Granatum (Pomegranate) Fruit Juice,3,3,3,3,2
Hydrolyzed Rice Bran Extract,5,5,5,5,4
Gentiana Lutea (Gentian) Root Extract,7,7,7,7,6
Di-Ppg-2 Myreth-10 Adipate,4,3,4,3,3
Myristyl Laurate,1,1,1,1,0
Di-C12-18 Alkyl Dimonium Chloride,4,4,4,4,3
Mica*,1,1,1,1,0
Essential Oil**,1,1,1,1,0
Organic Sucrose (Brown Sugar).,1,1,1,1,0
-100 Percent Sugarcane-Derived Squalane.,1,1,1,1,1
Collodial Oatmeal,1,1,1,1,1
Edta.,2,2,2,2,2
Dicaprylyl Maleate,1,0,1,1,0
Hydrolyzed Soy Flour,3,2,3,3,2
Spiraea Ulmaria Extract,2,0,1,2,0
Honey (Mel) Extract,1,0,1,1,0
Glycolipids,3,2,3,2,0
Avena Sativa (Oat) Kernel Protein,1,0,1,1,0
Citrus Aurantium Dulcis (Orange) Fruit Extract.,1,0,1,1,0
-Black Bee Honey -Ouessant Honey: Repairs skin. -Guerlain Exclusive Royal Jelly: Nourishes skin. -Commiphora Oil: Renews skin.,1,1,1,1,0
Visit the Fresh boutique,0,1,1,0,0
Homosalate 5.0%,2,1,2,1,2
Octocrylene 2.8%Water,2,1,2,1,2
Illicium Verum (Anise) Fruit/Seed Oil*,4,3,4,3,3
Carthamus Tinctorius (Safflower) Seed Oil*,6,5,6,4,5
Myristica Fragrans (Nutmeg) Kernel Oil*,5,4,5,4,3
Citrus Nobilis (Mandarin Orange) Peel Oil*,4,3,4,3,3
Litsea Cubeba Fruit Oil*,4,3,4,3,3
Hibiscus Abelmoschus Extract,4,3,4,3,3
Anogeissus Leiocarpus Bark Extract,4,3,4,3,3
Centaurium Erythraea (Centaury) Extract,4,3,4,3,3
Rubus Idaeus (Raspberry) Leaf Extract,5,4,5,4,4
Peucedanum Graveolens (Dill) Extract,6,5,6,5,6
Cassia Alata Leaf Extract,4,3,4,3,3
Mica * Essential Oil Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,3,2,3,2,3
Glyceryl Dilaurate,1,1,1,1,1
Alcaligenes Polysaccharides,8,8,8,7,8
Octisalate 2.0%,2,1,1,2,0
Titanium Dioxide 1.6%Water,1,0,0,1,0
Peg-3 Dimethicone,1,0,0,1,0
Pyridoxine Hcl,1,0,0,1,0
Titanium Dioxide (Ci 77891)],1,0,0,1,0
Mineral Oil (Paraffinum Liquidum),1,1,1,1,1
Caprylic/Capric Triglyceride*,6,6,6,5,6
Cetearyl Alcohol*,7,7,7,6,7
Hydrogenated Vegetable Oil*,2,2,2,2,2
Vitis Vinifera (Grape) Seed Oil*,8,8,8,6,8
Peg-20 Stearate,4,4,4,4,4
Squalane*,8,8,8,6,8
Butyrospermum Parkii (Shea) Butter Extract*,5,5,5,4,5
Palmitoyl Grapevine Shoot Extract*,8,8,8,7,8
Polyglyceryl-10 Pentaoleate*,1,1,1,1,1
Tocopheryl Acetate*,5,5,5,5,5
Verbena Officinalis Extract*,1,1,1,1,1
Tilia Cordata Extract*,1,1,1,1,1
Sodium Carboxymethyl Beta-Glucan,7,7,7,6,7
Butylphenyl Methylpropional. *Plant Origin.,2,2,2,2,2
No Info,3,2,3,2,2
Cocoglycerides,3,3,3,2,2
Lauryl Lactate,5,3,5,4,3
Cetyl Phosphate,2,2,2,2,2
Pelvetia Canaliculata Extract,1,1,1,1,1
Ectoin,8,7,8,8,6
Ginkgo Biloba Leaf Extract,7,6,7,5,6
Passiflora Incarnata Extract,2,2,2,2,2
Tripleurospermum Maritimum Extract,2,2,2,2,2
Linalool *,1,1,1,1,1
Red 33 (CI 17200). *Allergen.,1,1,1,1,1
Iron Oxides (Ci 77499)].,0,0,0,0,0
Visit the Kopari boutique,1,1,1,1,1
Piperidinepropionic Acid,5,5,5,5,5
Mineral Oil(Paraffinum Liquidum/Huile Minerale),3,3,3,3,3
Pentaerythrityl Tetrabehenate/Benzoate/Ethylhexanoate,2,2,2,2,2
Sodium Methyl Stearoyl Taurate,1,1,1,1,1
2-O-Ethyl Ascorbic Acid,8,8,8,7,5
Prunus Speciosa Leaf Extract,6,6,6,6,6
Angelica Acutiloba Root Extract,7,7,7,7,6
Sanguisorba Officinalis Root Extract,5,3,3,5,3
Isodonis Japonicus Leaf/Stalk Extract,5,5,5,5,5
Butyro - Spermum Parkii (Shea) Butter,1,0,1,1,0
Dipsacus Sylvestris Extract,1,0,1,1,0
Cellulose,14,11,13,13,9
Eschscholtzia Californica Flower/Leaf/Stem Extract,1,0,1,1,0
Actinidia Chinensis (Kiwi) Fruit Extract,7,6,7,7,6
Diospyros Mespili - Formis Leaf Extract,1,0,1,1,0
Sanicula Europaea Extract,2,1,2,2,1
Lapsana Communis Flower/Leaf/Stem Extract,1,0,1,1,0
Furcellaria Lumbricalis Extract,2,1,2,2,1
Maris Sal/Sea Salt/Sel Marin,1,0,1,1,0
Heptapeptide-15 Palmitate.,1,0,1,1,0
Calophyllum Tacamahaca Seed oil.,0,0,0,0,0
Water Glycerin,2,2,2,2,2
Hdi/Trimethylol Hexyllactone Crosspolymer,8,8,8,8,7
Aminopropyl Dimethicone,0,0,0,0,0
Glycyl Glycine,1,1,1,1,0
Paeonia Albiflora Root Extract,5,4,5,5,2
Witch Hazel Leaf Extract,0,0,0,0,0
Lamium Album Flower Extract,1,1,1,1,0
Citrus Junos Seed Extract,1,2,1,1,0
Zingiber Aromaticus Extract,4,4,4,4,2
Benzoic Acid.,3,3,3,3,2
Peg-60 Glyceryl Isostearate,4,4,4,4,1
Hydrogenated Palm Oil,3,3,3,3,1
Elaeis Guineensis (Palm) Kernel Oil,3,3,3,3,1
Hamamelis Virginiana (Witch Hazel) Leaf Extract,6,5,6,6,4
-Silicone Wrap: Creates a hydrating climate for intense moisture. -Epidermal Growth Factor: Increases cell renewal. -Plant Stem Cells: Assist in fighting free-radicals and sun damage. -Hyaluronic Acid: Moisturizes the skin and promotes enhanced volume. EGF Botanical Complex: Water,0,0,0,0,0
Oleth-10 Phosphate,0,0,0,0,0
Tribehenin PEG-20 Esters,0,0,0,0,0
Malus Domestica Fruit Cell Culture Extract,2,2,2,2,2
Tribehenin,10,10,10,10,9
rH-Oligopeptide-1,0,0,0,0,0
Vitis Vinifera (Grape) Fruit Cell Extract,2,2,2,1,1
Xantham Gum,2,2,2,2,0
Dimethyl Lauramine Oleate,0,0,0,0,0
Dimethicone PEG-8 Meadowfoamate,0,0,0,0,0
Cetearyl Ethylhexanoate,8,7,8,7,6
Tropaeolum Majus Extract,3,3,3,2,2
Hydrolyzed Rice Protein,8,7,8,7,7
Hexapeptide-48 HCl,2,2,2,1,1
Ethylhexyl Stearate,9,9,9,8,7
Sodium Isostearate,3,3,3,2,2
Rice Bran Oil,1,1,1,1,1
Corn Oil,1,1,1,1,1
Yellow 6,0,0,0,0,0
Wheat Germ Oil,0,0,0,0,0
Polycaprolactone,0,0,0,0,0
Sesame Seed Oil,0,0,0,0,0
Soybean Oil,0,0,0,0,0
Polyglyceryl-10 Pentaisostearate,1,1,1,1,1
Dimer Dilinoleyl Dimer Dilinoleate,1,1,1,1,1
Phytosteryl Macadamiate (Macadamia),1,1,1,1,1
Stearyl Glycyrrhetinate (Licorice Extract),1,1,1,1,1
Oryzanol (Rice Bran Oil Extract),1,1,1,1,1
DiCaprylyl Carbonate,1,1,1,1,1
Isostearyl Alcohol,2,2,2,2,2
Silybum Marianum Ethyl Ester,2,2,2,2,2
Retinyl Palmitate/Carrot Polypeptide,1,1,1,1,1
Helianthus Annuus (Sunflower) Seed Wax,5,4,5,4,4
Acacia Decurrens Flower Wax,3,3,3,3,3
Tricaprylin,3,3,3,3,3
Butylene Glycol Cocoate,1,1,1,1,1
Ethylcellulose,3,3,3,3,2
Octoxynol-9,3,3,3,3,2
Octinoxate 7.50%,1,1,1,1,1
Titanium Dioxide 1.10%,1,1,1,1,1
Tocopheryl Linoleate/Oleate,2,2,2,2,2
Dimethoxytolyl Propylresorcinol,4,4,4,4,4
[+/- Iron Oxides (Ci 77492),1,1,1,1,1
Zinc Oxide (Ci 77497),1,1,1,1,1
Iron Oxides (Ci 77499)],1,1,1,1,1
Caprylic/Capric Triglyceride**,0,0,0,0,0
Cetearyl Alcohol**,0,0,0,0,0
Tapioca Starch**,0,0,0,0,0
Ascorbyl Glucoside**,0,0,0,0,0
Camelina Sativa Seed Oil**,0,0,0,0,0
Helichrysum Italicum Flower Oil*,0,0,0,0,0
Myrtus Communis Oil*,0,0,0,0,0
Borago Officinalis Seed Oil*,1,1,1,1,1
Helichrysum Italicum Extract*,0,0,0,0,0
Echium Plantagineum Seed Oil**,0,0,0,0,0
Menyanthes Trifoliata Leaf Extract**,0,0,0,0,0
Bellis Perennis (Daisy) Flower Extract**,0,0,0,0,0
Helianthus Annuus (Sunflower) Seed Oil**,1,1,1,1,1
Rosmarinus Officinalis (Rosemary) Leaf Extract**,0,0,0,0,0
Mel/Honey**,0,0,0,0,0
Polysorbate 60**,0,0,0,0,0
Sodium Citrate**,0,0,0,0,0
Palmitic Acid**,0,0,0,0,0
Cetyl Palmitate**,0,0,0,0,0
Cetearyl Glucoside**,0,0,0,0,0
Glyceryl Linoleate,2,2,2,1,1
Sucrose Palmitate,4,4,4,3,2
Adv Timezone Night Age Rvr Lw Crm Division: El (Estee Lauder)Ingredients: Water,0,0,0,0,0
Hdi/Ppg/Polycaprolactone Crosspolymer,0,0,0,0,0
C12-20 Acid Peg-8 Ester,0,0,0,0,0
Tamarindus Indica Seed Extract,0,0,0,0,0
Rosmarinus Officinalis (Rosemary) Extract,4,2,2,4,2
Selaginella Tamariscina (Spike Moss) Extract,0,0,0,0,0
Humulus Lupulus (Hops) Extract,2,2,2,2,2
Citrus Reticulata (Tangerine) Peel Extract,5,5,5,5,2
Rhodochrosite Extract,0,0,0,0,0
Cucumis Melo (Melon) Fruit Extract,1,1,2,1,1
Limonium Vulgare Flower/Leaf/Stem Extract,0,0,0,0,0
Triolein,6,6,6,6,3
Propylene Glycol Dicaprylate,0,0,0,0,0
Phytosteryl Canola Glycerides,3,3,3,3,2
Potassium Sulfate,3,3,3,3,2
Decarboxy Carnosine Hcl,1,1,1,1,1
Nordihydroguaiaretic Acid,5,3,3,5,3
Ethylbisiminomethylguaiacol Manganese Chloride,5,5,5,5,4
Blue 1 (Ci 42090),4,4,4,4,3
Isocetyl Stearate,2,1,2,2,0
Pentaerythrityl Tetracaprylate/Tetracaprate,1,0,1,1,0
Polyamide-5,3,0,3,3,2
Xylitylglucoside,11,10,11,8,8
Anhydroxylitol,12,11,12,8,9
PEG/PPG-18/18 Dimethicone,8,7,8,5,7
Pullulan,18,17,18,17,14
Trideceth-6,3,3,4,3,3
Adenosine.,1,0,1,1,0
Dimethicone/PEG-10/15 Crosspolymer,8,8,8,6,7
Hydrolyzed Chondrus Crispus Extract,3,3,3,2,1
Sodium Hyaluronate.,4,4,4,4,4
Butyrospermum Parkii Butter (Butyrospermum Parkii (Shea Butter)),3,3,3,3,3
Citrullus Vulgaris Fruit Extract (Citrullus Vulgaris (Watermelon) Fruit Extract),0,0,0,0,0
Lens Esculenta Fruit Extract (Lens Esculenta (Lentil) Fruit Extract),0,0,0,0,0
Pyrus Malus Fruit Extract (Pyrus Malus (Apple) Fruit Extract),0,0,0,0,0
Silybum Marianum Seed Oil,0,0,0,0,0
Octocrylene 2.0%,1,1,1,1,0
Titanium Dioxide 3.0%,1,1,1,1,0
Zinc Oxide 3.0%Water,1,1,1,1,0
Garcinia Mangostana Peel Extract,8,8,8,8,4
Citrus Aurantium Amara (Bitter Orange) Flower Wax,2,2,2,2,1
Psidium Guajava (Guava) Fruit Extract,1,1,1,1,0
Citrus Aurantium Amara (Bitter Orange) Flower Water,3,3,3,3,1
Tourmaline,10,10,10,10,8
Cordyceps Sinensis Extract,4,4,4,4,3
Rhodochrosite,1,1,1,1,0
Isopropyl Myristate,12,10,12,10,8
Pvp/Hexadecene Copolymer,2,2,2,2,1
Dimethicone Silylate,5,5,5,5,4
Titanium Dioxide (Ci 77891) * Essential Oil Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,2,1,2,2,0
Butylene Glycol*,8,7,8,6,8
Hydrogenated Ethylhexyl Olivate*,1,1,1,1,1
Cetearyl Glucoside*,4,4,4,3,4
Hydrogenated Olive Oil Unsaponifiables*,1,1,1,1,1
Sesamum Indicum (Sesame) Seed Oil*,2,2,2,2,2
Prunus Armeniaca (Apricot) Kernel Oil*,2,2,2,2,1
Coco-Caprylate/Caprate*,4,3,4,3,4
Hydrolyzed Hyaluronic Acid*,2,2,2,2,2
Hydrogenated Apricot Kernel Oil*,1,1,1,1,1
Palmitoyl Tetrapeptide-7*,2,2,2,2,2
Pentaerythrityl Distearate,3,3,3,3,3
Sorbitan Isostearate*,2,2,2,2,2
Tribehenin*,2,2,2,2,2
Linalool. *Plant Origin.,4,4,4,3,4
Octyldodecyl Myristate*,2,2,2,1,2
C12-16 Alcohols*,1,1,1,0,1
Hydrogenated Lecithin*,2,2,2,1,2
Palmitic Acid*,1,1,1,0,1
Ci 77019 (Mica),1,1,1,0,1
Sorbitan Laurate*,4,4,4,2,4
Hydroxyethylcellulose*,3,3,3,2,3
,3,3,3,2,3
Citric Acid*,7,6,7,6,7
Carnitine HCl,1,2,2,1,2
Carnitine,1,2,2,1,2
Superoxide Dismutase,8,9,9,8,8
Elettaria Cardamomum Seed Extract,1,1,2,1,1
Cananga Odorata Flower Extract,2,2,3,2,1
Citrus Aurantium Amara (Bitter Orange) Flower Extract,6,6,7,6,4
Cupressus Sempervirens Leaf/Stem Extract,0,1,1,0,1
Jasminum Officinale (Jasmine) Flower Extract,3,3,4,3,3
Rose Extract,2,3,3,2,3
Salvia Officinalis (Sage) Leaf Extract,4,4,5,4,4
Santalum Album (Sandalwood) Wood Extract,1,1,2,1,1
Ammonium Hydroxide,0,1,1,0,1
Potassium Sorbate.,12,13,13,12,11
Rosa Gallica Flower Powder,1,1,1,1,1
Physalis Angulata Extract,3,3,3,3,2
Yellow 6 (Ci 15985).,2,1,1,2,1
Polymehtylsilsequioxane,1,1,1,1,1
Sodium Acrylate/Sodium Acryloyldimethyl Taureate Copolymer,1,1,1,1,1
Hydroxyethyl Acrylate/Soduium Acryloyldimethyl Taurate Copolymer,1,1,1,1,1
Glyceryl Acrylate/Acrylic Acid Copolymer,11,12,12,9,11
Cetraria Islandica Extract,1,1,1,1,1
Ferment Extract,1,1,1,1,1
sh-Polypeptide-22,5,5,5,5,5
sh-Polypeptide-45,5,5,5,5,5
sh-Polypeptide-8,5,5,5,5,5
sh-Polypeptide-9.,1,1,1,1,1
Microcrystalline Wax(Cera Microcristallina/Cire Microcristalline),3,3,3,3,2
Peg/Ppg-14/7 Dimethyl Ether,10,10,10,9,5
Crataegus Monogyna Flower Extract,6,6,6,5,2
Rehmannia Chinensis Root Extract,4,4,4,3,0
Camellia Sinensis Leaf Extract.,0,0,0,0,0
Tremella Fuciformis (Mushroom) Extract,3,2,3,3,3
Barosma Betulina Leaf Extract,1,1,1,1,1
CI 19140 (Yellow 5),2,2,2,2,1
CI 42090 (Blue 1).,0,0,0,0,0
Lavandula Angustifolia (Lavender) Extract,2,2,2,2,2
Salvia Officinalis(Sage) Leaf Extract,0,0,0,0,0
Melissa Officinalis Leaf Extract,3,3,3,3,3
Alchemilla Vulgaris Extract,3,3,3,3,3
+Alchemilla Vulgaris Leaf Extract,0,0,0,0,0
**Equisetum Arvense Leaf Extract,0,0,0,0,0
**Urtica Dioica (Nettle) Leaf Extract,0,0,0,0,0
**Plantago Lanceolata Leaf Extract,0,0,0,0,0
Ammonium Acryloyldimethltaurate/Vp Copolymer,0,0,0,0,0
***Fragrance,0,0,0,0,0
Limonene. *Napiers Original Formula. **Napiers Aqua Formula. ***Fragrances of Natural Origin.,0,0,0,0,0
Argan Oil Isostearyl Esters**. **Natural.,1,1,0,1,1
Sodium Stearate,5,5,5,5,5
Isosteareth-2,1,1,1,1,1
Manganese Gluconate,1,1,1,1,1
Chlorphesin,1,1,1,1,1
Blue 1.,1,2,1,1,2
Res Lift Firm/Sclp Face Nc Spf15 Division: El (Estee Lauder)Active Ingredients: Avobenzone 3.00%,0,0,0,0,0
Octisalate 5.00%,1,1,1,1,1
Octocrylene 2.70%Ingredients: Water,0,0,0,0,0
Di-C12-15 Alkyl Fumarate,2,2,2,2,2
Octyldodecyl Myristate,0,0,0,0,0
Hexyldecyl Stearate,1,1,1,1,1
Potato Starch Modified,0,0,0,0,0
Mimosa Tenuiflora Bark Extract,4,3,4,4,4
Artemia Extract,2,2,2,2,0
Zinc Pca,1,1,1,1,1
Malachite,0,0,0,0,0
Plukenetia Volubilis Seed Oil,3,3,3,3,3
Nannochloropsis Oculata Extract,4,4,4,4,4
Tetrasodium Glutamate Diacetate,11,11,11,11,10
Corylus Americana (Hazel) Seed Extract,1,1,1,1,1
Daucus Carota Sativa (Carrot) Root Extract,9,8,9,8,6
Schinus Terebinthifolius Seed Extract,1,1,1,1,1
Dehydroxanthan Gum,2,2,2,2,1
Visit the philosophy boutique,5,5,5,5,5
Ophiopogon Japonicus Root Extract,3,3,3,3,3
Glycereth-25 PCA Isostearate,1,1,1,1,1
Poly C10-30 Alkyl Acrylate,2,3,2,2,2
Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,6,6,6,6,5
Oxothiazolidinecarboxylic Acid,0,0,0,0,0
Moringa Pterygosperma Seed Extract,7,7,7,7,5
Hexyldecyl Laurate,0,0,0,0,0
Hexyl Cinnamal. Fragrance.,0,0,0,0,0
Prunus Amygdalus Dulcis (Sweet Almond) Oil*,4,4,4,4,3
Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil*,1,1,1,1,1
Daucus Carota Sativa (Carrot) Seed Oil,5,5,5,5,4
Citrus Aurantium Amara (Bitter Orange) Flower Oil*,1,1,1,1,1
Farnesol (07-49-05) *.,1,1,1,1,1
Helianthus Annuus (Sunflower) Extract,1,1,1,1,1
Thymus Citriodorus Flower/Leaf Extract,1,1,1,1,1
Ci 15985/Yellow 6.,1,1,1,1,1
Hydrolyzed Phyllostachis Bambusoides,4,4,4,1,4
Hydrolyzed Camellia Sinensis Leaf,4,4,4,1,4
Camellia Sinensis Flower Extract,4,4,4,1,4
Kaempferol,6,6,6,1,6
Peg-15 Pentaerythrityl Tetra(Laureth-6 Carboxylate),3,3,3,0,3
Phytantriol,6,6,6,3,6
Poloxamer 407,5,5,5,2,5
-Meadowfoam Seed Oil: A unique fatty acid,0,0,0,0,0
which is easily absorbed by the skin to provide supreme nourishment. -Echinacea Extract: Helps to improve the skin’s resilience to environmental aggressors and promote a radiant glow. -Vitamin E: Offers antioxidant protection against wrinkle-causing free radicals. -Chamomile Wax: Helps to decrease dry spots,0,0,0,0,0
soften the skin,0,0,0,0,0
and create a light,0,0,0,0,0
moisture-preserving veil.,0,0,0,0,0
Di-Methicone,1,1,1,1,1
Isoeicosane,1,1,1,1,1
Mequisetum Giganteum Extract,1,1,1,1,1
Kigelia Africana Fruit Extract,1,1,1,1,1
Magne,1,1,1,1,1
Sium Sulfate,1,1,1,1,1
Acrylates/Dimethicone Co -Polymer,1,1,1,1,1
Dimethicone /Vinyl Di-Methicone Crosspolymer,1,1,1,1,1
Vinyl Dimethicone /Methicone Silsesquioxane Crosspolymer,1,1,1,1,1
Ci 77499/Iron Oxides,2,2,2,2,2
Ci 77491/Iron Oxide.,1,1,1,1,1
Dimethicone/Vinyl Dimethicone,1,0,1,0,1
Crosspolymer,1,0,1,0,1
Ethlhexylglycerin,1,0,1,0,1
Hydrogren Dimethicone,1,0,1,0,1
Ozokerite,5,3,5,3,4
Diisostearyl Malate Beeswax,1,0,1,0,1
Anthemis Nobilis Flower Extract,7,6,7,5,6
Caviar Extract,2,1,2,1,2
Sodium Benzoate.,9,8,9,8,9
PEG-9 Polydimethylsiloxyethyl Dimethicone,2,2,2,2,2
Peg-12 Glyceryl Dimyristate,1,1,1,1,1
Betaglucan,2,2,2,1,2
Sodium Sulfite,10,10,10,10,9
Polysorbate-80**,1,1,1,1,1
Polysorbate-20**,1,1,1,1,1
Carthamus Tinctorius (Safflower) Seed Oil**,1,1,1,1,1
Citrus Grandis (Pomelo Grapefruit) Seed Oil**,1,1,1,1,1
Vitis Vinifera (Grape) Seed Oil**,1,1,1,1,1
Olea Europaea (Olive) Fruit Oil**,1,1,1,1,1
Sucralose**.,1,1,1,1,1
Polyester-8,8,7,7,6,5
Hydrolyzed Ceratonia Siliqua Seed Extract,0,0,0,0,0
Cimicifuga Racemosa Root Extract,4,4,4,4,4
Diethylhexyl Syringylidenemalonate,7,7,6,6,3
Gellidiela Acerosa (Algae) Extract,4,3,4,4,1
Triticum Vulgare (Wheat Bran) Extract,1,1,1,1,1
Cladosiphon Okamuranus Extract,4,4,4,4,1
Astrocaryum Murumuru Seed Butter,2,2,2,2,2
Water Squalane,1,1,1,1,1
Sweet Almond Oil,5,5,5,5,5
Avocado Oil.,3,3,3,3,3
Ricinus Communis (Castor) Seed Oil,12,12,12,11,9
Hydroxystearic/Linolenic/Linoleic Polyglycerides,1,1,1,0,1
Rhus Succedanea Fruit Wax,1,1,1,0,1
Rhus Verniciflua Peel Wax,1,1,1,0,1
Hydrogenated Castor Oil,7,7,7,6,6
Euphorbia Cerifera (Candelilla) Wax,3,3,3,2,3
